 ,Label,Area,Min,Max,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,Slice,AR,Round,Solidity,mm
30,NM:29,319803.46022,0,3,0,0,565.51168,565.51168,1.00000,19616.85043,1005,29,1.00000,1.00000,1.00000,-128.12374
31,NM:30,319803.46022,0,2,0,0,565.51168,565.51168,1.00000,18601.84922,953,30,1.00000,1.00000,1.00000,-132.54180
32,NM:31,319803.46022,0,3,0,0,565.51168,565.51168,1.00000,21412.62182,1097,31,1.00000,1.00000,1.00000,-136.95986
33,NM:32,319803.46022,-1,4,0,0,565.51168,565.51168,1.00000,28810.41915,1476,32,1.00000,1.00000,1.00000,-141.37792
34,NM:33,319803.46022,-1,4,0,0,565.51168,565.51168,1.00000,39799.75924,2039,33,1.00000,1.00000,1.00000,-145.79598
35,NM:34,319803.46022,-2,4,0,0,565.51168,565.51168,1.00000,37867.35308,1940,34,1.00000,1.00000,1.00000,-150.21404
36,NM:35,319803.46022,-3,9,0,0,565.51168,565.51168,1.00000,63574.21081,3257,35,1.00000,1.00000,1.00000,-154.63210
37,NM:36,319803.46022,-4,20,0,0,565.51168,565.51168,1.00000,247191.83473,12664,36,1.00000,1.00000,1.00000,-159.05016
38,NM:37,319803.46022,-2,48,0,0,565.51168,565.51168,1.00000,745557.43203,38196,37,1.00000,1.00000,1.00000,-163.46822
39,NM:38,319803.46022,-2,81,0,0,565.51168,565.51168,1.00000,1553752.15068,79601,38,1.00000,1.00000,1.00000,-167.88628
40,NM:39,319803.46022,-1,116,0,0,565.51168,565.51168,1.00000,2482966.24513,127206,39,1.00000,1.00000,1.00000,-172.30434
41,NM:40,319803.46022,-1,144,0,0,565.51168,565.51168,1.00000,3258505.25156,166938,40,1.00000,1.00000,1.00000,-176.72240
42,NM:41,319803.46022,-1,156,0,0,565.51168,565.51168,1.00000,3710981.08233,190119,41,1.00000,1.00000,1.00000,-181.14046
43,NM:42,319803.46022,-2,166,0,0,565.51168,565.51168,1.00000,3899595.63531,199782,42,1.00000,1.00000,1.00000,-185.55852
44,NM:43,319803.46022,-2,169,0,0,565.51168,565.51168,1.00000,3965746.38767,203171,43,1.00000,1.00000,1.00000,-189.97658
45,NM:44,319803.46022,-2,170,0,0,565.51168,565.51168,1.00000,4010972.49957,205488,44,1.00000,1.00000,1.00000,-194.39464
46,NM:45,319803.46022,-2,162,0,0,565.51168,565.51168,1.00000,4068944.68444,208458,45,1.00000,1.00000,1.00000,-198.81270
47,NM:46,319803.46022,-1,161,0,0,565.51168,565.51168,1.00000,4107378.09588,210427,46,1.00000,1.00000,1.00000,-203.23076
48,NM:47,319803.46022,-2,164,0,0,565.51168,565.51168,1.00000,4134587.93619,211821,47,1.00000,1.00000,1.00000,-207.64882
49,NM:48,319803.46022,-2,157,0,0,565.51168,565.51168,1.00000,4165077.01119,213383,48,1.00000,1.00000,1.00000,-212.06688
50,NM:49,319803.46022,-2,165,0,0,565.51168,565.51168,1.00000,4189105.21307,214614,49,1.00000,1.00000,1.00000,-216.48494
51,NM:50,319803.46022,-2,176,0,0,565.51168,565.51168,1.00000,4217798.51669,216084,50,1.00000,1.00000,1.00000,-220.90300
52,NM:51,319803.46022,-2,173,0,0,565.51168,565.51168,1.00000,4247955.76437,217629,51,1.00000,1.00000,1.00000,-225.32106
53,NM:52,319803.46022,-2,180,0,0,565.51168,565.51168,1.00000,4264761.84220,218490,52,1.00000,1.00000,1.00000,-229.73912
54,NM:53,319803.46022,-2,174,0,0,565.51168,565.51168,1.00000,4252035.28849,217838,53,1.00000,1.00000,1.00000,-234.15718
55,NM:54,319803.46022,-2,177,0,0,565.51168,565.51168,1.00000,4224864.48669,216446,54,1.00000,1.00000,1.00000,-238.57524
56,NM:55,319803.46022,-1,174,0,0,565.51168,565.51168,1.00000,4205150.03999,215436,55,1.00000,1.00000,1.00000,-242.99330
57,NM:56,319803.46022,-2,175,0,0,565.51168,565.51168,1.00000,4206984.84988,215530,56,1.00000,1.00000,1.00000,-247.41136
58,NM:57,319803.46022,-3,176,0,0,565.51168,565.51168,1.00000,4199216.18672,215132,57,1.00000,1.00000,1.00000,-251.82942
59,NM:58,319803.46022,-1,161,0,0,565.51168,565.51168,1.00000,4172318.65449,213754,58,1.00000,1.00000,1.00000,-256.24748
60,NM:59,319803.46022,-1,164,0,0,565.51168,565.51168,1.00000,4192443.00553,214785,59,1.00000,1.00000,1.00000,-260.66554
61,NM:60,319803.46022,-2,174,0,0,565.51168,565.51168,1.00000,4258203.37281,218154,60,1.00000,1.00000,1.00000,-265.08360
62,NM:61,319803.46022,-2,166,0,0,565.51168,565.51168,1.00000,4289687.92977,219767,61,1.00000,1.00000,1.00000,-269.50166
63,NM:62,319803.46022,-2,181,0,0,565.51168,565.51168,1.00000,4257168.85234,218101,62,1.00000,1.00000,1.00000,-273.91972
64,NM:63,319803.46022,-2,176,0,0,565.51168,565.51168,1.00000,4215983.22605,215991,63,1.00000,1.00000,1.00000,-278.33778
65,NM:64,319803.46022,-1,166,0,0,565.51168,565.51168,1.00000,4200133.59167,215179,64,1.00000,1.00000,1.00000,-282.75584
66,NM:65,319803.46022,-2,168,0,0,565.51168,565.51168,1.00000,4197205.70354,215029,65,1.00000,1.00000,1.00000,-287.17390
67,NM:66,319803.46022,-2,170,0,0,565.51168,565.51168,1.00000,4200192.14943,215182,66,1.00000,1.00000,1.00000,-291.59196
68,NM:67,319803.46022,-1,166,0,0,565.51168,565.51168,1.00000,4221604.77125,216279,67,1.00000,1.00000,1.00000,-296.01002
69,NM:68,319803.46022,-1,173,0,0,565.51168,565.51168,1.00000,4243915.27876,217422,68,1.00000,1.00000,1.00000,-300.42808
70,NM:69,319803.46022,-1,163,0,0,565.51168,565.51168,1.00000,4230544.58966,216737,69,1.00000,1.00000,1.00000,-304.84614
71,NM:70,319803.46022,-1,181,0,0,565.51168,565.51168,1.00000,4185377.03552,214423,70,1.00000,1.00000,1.00000,-309.26420
72,NM:71,319803.46022,-1,180,0,0,565.51168,565.51168,1.00000,4131133.02820,211644,71,1.00000,1.00000,1.00000,-313.68226
